"Country","PctExpAndCantAffordAny"
"Albania",0.67
"Algeria",0
"Argentina",0.68
"Australia",0.48
"Austria",0.44
"Bahrain",0
"Bangladesh",0.6
"Belgium",0.55
"Benin",0.33
"Bolivia",0.5
"Botswana",1
"Brazil",0.72
"Bulgaria",0.33
"Cambodia",0.5
"Cameroon",0.93
"Canada",0.58
"Chile",0.44
"China",0
"Colombia",0.69
"Congo (DRC)",0.35
"Cote D'Ivoire (Ivory Coast)",0.5
"Croatia",1
"Czech Republic",0.44
"Denmark",0.12
"Dominican Republic",0.6
"Ecuador",0.4
"Egypt",0.67
"El Salvador",0.5
"Estonia",0.5
"Ethiopia",1
"Finland",0.09
"France",0.58
"Gabon",1
"Georgia",0
"Germany",0.43
"Ghana",0.72
"Greece",0.67
"Guatemala",0.4
"Guinea",0.5
"Haiti",0.67
"Honduras",0.71
"Hungary",0.52
"India",0.51
"Indonesia",0.25
"Iraq",0.25
"Ireland",0.58
"Italy",0.25
"Japan",0.46
"Jordan",0.5
"Kenya",0.76
"Korea (South)",0.31
"Latvia",0.25
"Lebanon",1
"Liberia",0.44
"Libya",1
"Lithuania",0
"Luxembourg",0.83
"Malawi",0.25
"Malaysia",0.45
"Mali",0.5
"Malta",1
"Mexico",0.7
"Moldova",0.41
"Mongolia",1
"Myanmar",0.33
"Namibia",1
"Nepal",0.6
"Netherlands",0.38
"New Zealand",0.49
"Nicaragua",1
"Nigeria",0.74
"Pakistan",0.42
"Palestinian Authority",0
"Panama",1
"Peru",0.75
"Philippines",0.58
"Poland",0.5
"Portugal",0.61
"Puerto Rico",0.67
"Romania",0.31
"Saudi Arabia",0.26
"Senegal",0.33
"Serbia",0.5
"Sierra Leone",0.46
"Singapore",0.32
"Slovak Republic",0
"Slovenia",0.27
"South Africa",0.74
"Spain",0.49
"Sri Lanka",0.75
"Sweden",0.26
"Switzerland",0.5
"Taiwan",0.37
"Tanzania",0.67
"Thailand",0.61
"Togo",1
"Turkey",0.69
"Uganda",0.67
"Ukraine",0.27
"United Arab Emirates",0.33
"United Kingdom",0.6
"United States",0.58
"Vietnam",0
"Yemen",0.4
"Zambia",0.78
"Zimbabwe",0.5
"Total",0.49
